2,1,345,672,406,91,1,1,1,1
2,2,1353,660,129,34,1,1,1,1
3,1,359,672,403,91,1,1,1,1
3,2,1353,660,126,33,1,1,1,1
4,1,367,671,410,93,1,1,1,1
4,2,1351,660,126,33,1,1,1,1
5,1,378,672,407,91,1,1,1,1
5,2,1350,661,123,32,1,1,1,1
6,1,393,673,400,90,1,1,1,1
6,2,1347,661,125,33,1,1,1,1
7,1,403,671,412,92,1,1,1,1
7,2,1345,661,126,33,1,1,1,1
8,1,426,672,404,91,1,1,1,1
8,2,1345,661,124,33,1,1,1,1
9,1,437,672,401,91,1,1,1,1
9,2,1342,661,127,33,1,1,1,1
10,1,461,674,386,87,1,1,1,1
10,2,1341,661,125,33,1,1,1,1
11,1,476,674,380,85,1,1,1,1
11,2,1340,662,125,32,1,1,1,1
12,1,489,673,379,85,1,1,1,1
12,2,1339,662,125,32,1,1,1,1
13,1,505,673,380,85,1,1,1,1
13,2,1337,662,126,31,1,1,1,1
14,1,515,673,379,85,1,1,1,1
14,2,1334,662,127,31,1,1,1,1
15,1,535,674,368,82,1,1,1,1
15,2,1332,662,127,31,1,1,1,1
16,1,548,676,363,80,1,1,1,1
16,2,1330,661,131,33,1,1,1,1
17,1,556,676,366,81,1,1,1,1
17,2,1329,661,128,33,1,1,1,1
18,1,567,674,371,82,1,1,1,1
18,2,1327,661,130,33,1,1,1,1
19,1,576,673,377,84,1,1,1,1
19,2,1326,661,130,33,1,1,1,1
20,1,594,675,367,82,1,1,1,1
20,2,1322,660,135,34,1,1,1,1
