2,0,345,672,406,91,1,1,1,1
2,0,1353,660,129,34,1,1,1,1
3,0,359,672,403,91,1,1,1,1
3,0,1353,660,126,33,1,1,1,1
4,0,367,671,410,93,1,1,1,1
4,0,1351,660,126,33,1,1,1,1
5,0,378,672,407,91,1,1,1,1
5,0,1350,661,123,32,1,1,1,1
6,0,393,673,400,90,1,1,1,1
6,0,1347,661,125,33,1,1,1,1
7,0,403,671,412,92,1,1,1,1
7,0,1345,661,126,33,1,1,1,1
8,0,426,672,404,91,1,1,1,1
8,0,1345,661,124,33,1,1,1,1
9,0,437,672,401,91,1,1,1,1
9,0,1342,661,127,33,1,1,1,1
10,0,461,674,386,87,1,1,1,1
10,0,1341,661,125,33,1,1,1,1
11,0,476,674,380,85,1,1,1,1
11,0,1340,662,125,32,1,1,1,1
12,0,489,673,379,85,1,1,1,1
12,0,1339,662,125,32,1,1,1,1
13,0,505,673,380,85,1,1,1,1
13,0,1337,662,126,31,1,1,1,1
14,0,515,673,379,85,1,1,1,1
14,0,1334,662,127,31,1,1,1,1
15,0,535,674,368,82,1,1,1,1
15,0,1332,662,127,31,1,1,1,1
16,0,548,676,363,80,1,1,1,1
16,0,1330,661,131,33,1,1,1,1
17,0,556,676,366,81,1,1,1,1
17,0,1329,661,128,33,1,1,1,1
18,0,567,674,371,82,1,1,1,1
18,0,1327,661,130,33,1,1,1,1
19,0,576,673,377,84,1,1,1,1
19,0,1326,661,130,33,1,1,1,1
20,0,594,675,367,82,1,1,1,1
20,0,1322,660,135,34,1,1,1,1
